,Date Time,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Meta_Price,Tesla_Price,Google_Price,Nvidia_Price,Amazon_Price,Microsoft_Price,Berkshire_Price,Netflix_Price,Amazon_Price
1242,2019-02-04,"2,724.87","6,959.96",42.81,169.25,20.86,57.07,37.3,81.67,105.74,"3,12,000",351.34,81.67
1241,2019-02-05,"2,737.70","7,023.52",43.55,171.16,21.42,57.59,37.49,82.94,107.22,"3,10,700",355.81,82.94
1240,2019-02-06,"2,731.61","6,997.62",43.56,170.49,21.15,56.14,38.25,82.01,106.03,"3,08,810",352.19,82.01
1239,2019-02-07,"2,706.05","6,904.98",42.73,166.38,20.5,55.3,36.85,80.72,105.27,"3,02,813",344.71,80.72
1238,2019-02-08,"2,707.88","6,913.13",42.6,167.33,20.39,55.12,37.04,79.41,105.67,"3,00,771",347.57,79.41
1237,2019-02-11,"2,709.80","6,909.19",42.36,165.79,20.86,55.11,36.61,79.55,105.25,"3,04,884",345.73,79.55
1236,2019-02-12,"2,744.73","7,014.67",42.72,165.04,20.79,56.38,37.79,81.9,106.89,"3,09,260",359.97,81.9
1235,2019-02-13,"2,753.03","7,015.88",42.55,164.07,20.54,56.43,38.22,82.0,106.81,"3,08,320",351.77,82.0
1234,2019-02-14,"2,745.73","7,022.42",42.7,163.95,20.25,56.46,38.63,81.13,106.9,"3,03,890",359.07,81.13
1233,2019-02-15,"2,775.60","7,055.18",42.6,162.5,20.53,55.98,39.34,80.4,108.22,"3,08,139",356.87,80.4
1232,2019-02-19,"2,779.76","7,066.61",42.73,162.29,20.38,56.33,39.16,81.38,108.17,"3,07,315",361.92,81.38
1231,2019-02-20,"2,784.70","7,062.34",43.01,162.56,20.17,56.03,39.64,81.11,107.15,"3,09,500",359.91,81.11
1230,2019-02-21,"2,774.88","7,035.16",42.77,160.04,19.42,55.21,38.94,80.97,109.41,"3,07,925",356.97,80.97
1229,2019-02-22,"2,792.67","7,090.62",43.24,161.89,19.65,55.83,39.8,81.58,110.97,"3,02,000",363.02,81.58
1228,2019-02-25,"2,796.11","7,115.43",43.56,164.62,19.92,55.87,39.67,81.65,111.59,"3,03,300",363.91,81.65
1227,2019-02-26,"2,793.90","7,123.22",43.58,164.13,19.86,56.1,39.27,81.82,112.36,"3,02,500",364.97,81.82
1226,2019-02-27,"2,792.38","7,117.01",43.72,162.81,20.98,56.14,38.85,82.05,112.17,"3,03,000",362.87,82.05
1225,2019-02-28,"2,784.49","7,097.52",43.29,161.45,21.33,56.33,38.56,81.99,112.03,"3,02,200",358.1,81.99
1224,2019-03-01,"2,803.69","7,151.57",43.74,162.28,19.65,57.43,39.11,83.59,112.53,"3,04,860",357.32,83.59
1223,2019-03-04,"2,792.81","7,150.83",43.96,167.37,19.02,57.67,39.2,84.81,112.26,"3,03,400",351.04,84.81
1222,2019-03-05,"2,789.65","7,156.78",43.88,171.26,18.44,58.46,39.13,84.62,111.7,"3,02,600",354.3,84.62
1221,2019-03-06,"2,771.45","7,112.47",43.63,172.51,18.42,58.25,38.01,83.45,111.75,"3,01,375",359.61,83.45
1220,2019-03-07,"2,748.93","7,026.88",43.12,169.13,18.44,57.54,37.31,81.3,110.39,"2,99,050",352.6,81.3
1219,2019-03-08,"2,743.07","7,015.69",43.23,169.6,18.94,57.5,37.66,81.04,110.51,"2,99,000",349.6,81.04
1218,2019-03-11,"2,783.30","7,164.02",44.73,172.07,19.39,58.96,40.28,83.53,112.83,"3,03,279",358.86,83.53
1217,2019-03-12,"2,791.52","7,201.28",45.23,171.92,18.89,59.86,40.63,83.66,113.62,"3,04,235",356.27,83.66
1216,2019-03-13,"2,810.92","7,256.98",45.43,173.37,19.26,59.95,42.16,84.54,114.5,"3,06,300",361.21,84.54
1215,2019-03-14,"2,808.48","7,243.01",45.93,170.17,19.33,59.63,41.39,84.31,114.59,"3,05,350",358.82,84.31
1214,2019-03-15,"2,822.48","7,306.99",46.53,165.98,18.36,59.52,42.45,85.62,115.91,"3,07,250",361.46,85.62
1213,2019-03-18,"2,832.94","7,326.28",47.01,160.47,17.97,59.43,42.24,87.11,117.57,"3,09,996",363.44,87.11
1212,2019-03-19,"2,832.57","7,349.28",46.63,161.57,17.83,60.12,43.93,88.09,117.65,"3,07,900",358.78,88.09
1211,2019-03-20,"2,824.23","7,380.75",47.04,165.44,18.24,61.32,43.6,89.86,117.52,"3,05,505",375.22,89.86
1210,2019-03-21,"2,854.88","7,493.27",48.77,166.08,18.27,61.81,45.98,90.96,120.22,"3,07,120",377.87,90.96
1209,2019-03-22,"2,800.71","7,326.06",47.76,164.34,17.64,60.38,44.38,88.24,117.05,"3,01,225",361.01,88.24
1208,2019-03-25,"2,798.36","7,316.96",47.19,166.29,17.36,59.87,43.45,88.71,117.66,"2,99,380",366.23,88.71
1207,2019-03-26,"2,818.46","7,351.15",46.7,167.68,17.85,59.49,44.22,89.19,117.91,"3,00,961",359.97,89.19
1206,2019-03-27,"2,805.37","7,308.19",47.12,165.87,18.32,58.9,44.12,88.28,116.77,"2,99,764",353.37,88.28
1205,2019-03-28,"2,815.44","7,320.47",47.18,165.55,18.57,58.61,44.31,88.67,116.93,"3,01,250",354.61,88.67
1204,2019-03-29,"2,834.40","7,378.77",47.49,166.69,18.66,58.84,44.89,89.04,117.94,"3,01,215",356.56,89.04
1203,2019-04-01,"2,867.19","7,478.42",47.81,168.7,19.28,59.95,45.57,90.71,119.02,"3,07,800",366.96,90.71
1202,2019-04-02,"2,867.24","7,499.64",48.51,174.2,19.06,60.28,45.75,90.7,119.19,"3,06,000",367.72,90.7
1201,2019-04-03,"2,873.40","7,544.97",48.84,173.54,19.45,60.54,47.16,91.03,119.97,"3,05,750",369.75,91.03
1200,2019-04-04,"2,879.39","7,540.57",48.92,176.02,17.85,60.97,47.06,90.94,119.36,"3,06,461",367.88,90.94
1199,2019-04-05,"2,892.74","7,578.84",49.25,175.72,18.33,60.57,47.74,91.86,119.89,"3,07,776",365.49,91.86
1198,2019-04-08,"2,895.77","7,599.74",50.02,174.93,18.21,60.41,47.95,92.49,119.93,"3,07,461",361.41,92.49
1197,2019-04-09,"2,878.20","7,568.49",49.88,177.58,18.15,60.13,47.31,91.79,119.28,"3,07,380",364.71,91.79
1196,2019-04-10,"2,888.21","7,611.49",50.16,177.82,18.4,60.32,48.02,92.37,120.19,"3,07,000",363.92,92.37
1195,2019-04-11,"2,888.32","7,594.89",49.74,177.51,17.89,60.48,47.88,92.2,120.33,"3,09,875",367.65,92.2
1194,2019-04-12,"2,907.41","7,628.15",49.72,179.1,17.85,61.14,47.5,92.15,120.95,"3,14,250",351.14,92.15
1193,2019-04-15,"2,905.58","7,629.12",49.81,179.65,17.76,61.33,46.17,92.24,121.05,"3,14,500",348.87,92.24
1192,2019-04-16,"2,907.06","7,654.73",49.81,178.87,18.22,61.6,47.05,93.15,120.77,"3,17,500",359.46,93.15
1191,2019-04-17,"2,900.45","7,680.72",50.78,178.78,18.08,62.01,46.82,93.24,121.77,"3,16,040",354.74,93.24
1190,2019-04-18,"2,905.03","7,689.72",50.97,178.28,18.22,62.07,46.58,93.08,123.37,"3,15,330",360.35,93.08
1189,2019-04-22,"2,907.97","7,713.49",51.13,181.44,17.52,62.69,47.12,94.37,123.76,"3,14,100",377.34,94.37
1188,2019-04-23,"2,933.68","7,810.71",51.87,183.78,17.59,63.53,47.67,96.19,125.44,"3,17,684",381.89,96.19
1187,2019-04-24,"2,927.25","7,784.41",51.79,182.58,17.24,63.0,47.79,95.09,125.01,"3,16,000",374.23,95.09
1186,2019-04-25,"2,926.17","7,816.92",51.32,193.26,16.51,63.37,46.73,95.11,129.15,"3,18,500",368.33,95.11
1185,2019-04-26,"2,939.88","7,826.68",51.08,191.49,15.68,63.87,44.52,97.53,129.89,"3,21,000",374.85,97.53
1184,2019-04-29,"2,943.03","7,839.04",51.15,194.78,16.1,64.81,44.83,96.92,129.77,"3,24,921",371.83,96.92
1183,2019-04-30,"2,945.83","7,781.46",50.17,193.4,15.91,59.95,45.25,96.33,130.6,"3,25,080",370.54,96.33
1182,2019-05-01,"2,923.73","7,751.85",52.63,193.03,15.6,58.67,45.12,95.58,127.88,"3,25,900",378.81,95.58
1181,2019-05-02,"2,917.52","7,724.06",52.29,192.53,16.27,58.33,45.8,95.04,126.21,"3,24,214",379.06,95.04
1180,2019-05-03,"2,945.64","7,845.73",52.94,195.47,17.0,59.48,45.75,98.12,128.9,"3,27,766",385.03,98.12
1179,2019-05-06,"2,932.47","7,794.09",52.12,193.88,17.02,59.67,44.96,97.53,128.15,"3,20,000",378.67,97.53
1178,2019-05-07,"2,884.05","7,640.15",50.72,189.77,16.47,58.94,43.28,96.05,125.52,"3,15,120",370.46,96.05
1177,2019-05-08,"2,879.42","7,617.55",50.73,189.54,16.32,58.54,43.48,95.89,125.51,"3,14,750",364.37,95.89
1176,2019-05-09,"2,870.72","7,582.75",50.18,188.65,16.13,58.4,42.55,94.99,125.5,"3,14,400",362.75,94.99
1175,2019-05-10,"2,881.40","7,586.53",49.3,188.34,15.97,58.38,42.2,94.5,127.13,"3,15,500",361.04,94.5
1174,2019-05-13,"2,811.87","7,324.13",46.43,181.54,15.13,56.83,39.61,91.13,123.35,"3,08,360",345.26,91.13
